Description,ASIN,Product Description,Manufacturer
DEIN KLEIDER Men's Nylon Messenger Bag,B084ZHP97M, ₹276.00 ,
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,B078GLXMDY,This is a modal window.,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",B081GSQ9D9, ₹539.00 ,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com"
Wildcraft 31 Ltrs 18.50 inchs Backpack (11954 Blue_Blue),B07N2PDVX4," A sporty versatile Backpack from Wildcraft, made of Polyester; Synthetic. It has a top opening compartment & 2 for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back. ",Wildcraft
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,B07M9BRCQ5, The product will be an excellent pick for you. It ensures an easy maintenance. ,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,B07G4F3758, Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack (LBPVG2LTH1901) ,"Gear, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),B085MHDJ93,This is a modal window.,Amazing Bags
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)",B0B68Z3X7D," Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO₂ emission.* *Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)",B0B69M182Q," Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO₂ emission.* *Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)",B0B68Z3X7D," Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO₂ emission.* *Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,B09VCLZ3K4, ₹759.00 ,Amazing Bags
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Navy Blue) 40L,B0BCYX6DW2," NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily. ","Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086"
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,B0855F8174, ₹611.00 ,Bagneeds
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",B07J46KLFP, ₹489.00 ,"Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),B07NSC4SL5," Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. ","Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",B09VTDMRY7," Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels. ","FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
"uppercase Medium 23L Tall Boy Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0B81YTTWS," ₹1,550.00 ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),B09T2TCSW7,Classic,Half_Moon (AB Amazing Bags)
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags, Blue Light Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",B09B26VHXV," Safari Flash is a 26 Litres, 2 compartment backpack perfect for daily usage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips. This bag is also covered under 1 year International warranty. ","Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm",B08CMQD4BC," ₹1,199.00 ",Panda Exim
Martucci Large 35 L Laptop Backpack Spacy Unisex Laptop/College/School/Travel Backpack with Rain Cover and Reflective Strip,B0B7DVC3TL, ₹769.00 ,Martucci
TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),B09H7PK5ML," The bag is aesthetically designed and hand crafted by experts to ensure consistent superior quality and high value for customers . To meet your day to day need, The Laptop Backpack is a lightweight, multi-utility bag . ",1
Genie Flamenco2 Casual Backpacks for Women,B08YF9VHTY,Casual Backpack,"Safari, Safari, Safari Industries(India)Ltd.,302-303,A-Wing,The Qube CTS no-1498,A/2,MV road,Marol, Andheri(E), Mumbai-400059, Maharashtra."
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,B07G44G1DC," Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements. ","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack (Black1) 40L Backpack,B08679WRLW,Delivery Associate will place the order on your doorstep and step back to maintain a 2-meter distance.,
"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",B0844R2GMK, Tap on the category links below for the associated return window and exceptions (if any) for returns. ,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com"
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),B085MHDJ93,This is a modal window.,Amazing Bags
Lenovo Slim Everyday Backpack,B08R7RPVJF, Tap on the category links below for the associated return window and exceptions (if any) for returns. ,"Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India"
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)",B0B69M182Q," Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO₂ emission.* *Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)",B0B68Z3X7D," Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO₂ emission.* *Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",B09B25Z8M2," Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips. ","Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue)",B0B68Z3X7D," Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO₂ emission.* *Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
Fristo Women's Handbag (FRB-315_Red),B07MNRTDK5,,High Trends India
"Wildcraft 45 Ltrs Grey and Orange Rucksack (8903338073864), Large",B01G5I8YLC, Wildcraft rucksack is designed to take on the toughest hauls of the outdoors. The shoulder height and depth adjusters ensure that your pack fits snug on you while you take that winding road. Built on light-weight and strong Robic fabric it adds to the overall performance of the product. ,"Wildcraft, Wildcraft, No. 4AC-401, 2nd Block, Hennur Road, BDA Layout, Bangalore City Corporation Ward No. 89, Kammanahalli, Bengaluru, Karnataka 560084; Phome: 9930076456"
"TRUE HUMAN Emperor ( ZYDEN ) Anti-Theft backpack with combination lock Laptop bag , office bag college bags",B09VCHV6T5,Delivery Associate will place the order on your doorstep and step back to maintain a 2-meter distance.,
"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",B0844R2GMK, Tap on the category links below for the associated return window and exceptions (if any) for returns. ,"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com"
ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,B07XVMR33Q, ₹725.00 ,"Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)"
"uppercase Medium 23L Tall Boy Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",B0B81YTTWS," ₹1,550.00 ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
